Id;Measure;Perioden;Value;StringValue;ValueAttribute
0;M000238;1963MM01;3,9;;None
1;M000239;1963MM01;;;Impossible
2;M000238;1963MM02;5,8;;None
3;M000239;1963MM02;;;Impossible
4;M000238;1963MM03;4,8;;None
5;M000239;1963MM03;;;Impossible
6;M000238;1963MM04;1,9;;None
7;M000239;1963MM04;;;Impossible
8;M000238;1963MM05;2,8;;None
9;M000239;1963MM05;;;Impossible
10;M000238;1963MM06;1,9;;None
11;M000239;1963MM06;;;Impossible
12;M000238;1963MM07;1,9;;None
13;M000239;1963MM07;;;Impossible
14;M000238;1963MM08;1,9;;None
15;M000239;1963MM08;;;Impossible
16;M000238;1963MM09;2,8;;None
17;M000239;1963MM09;;;Impossible
18;M000238;1963MM10;3,8;;None
19;M000239;1963MM10;;;Impossible
20;M000238;1963MM11;3,8;;None
21;M000239;1963MM11;;;Impossible
22;M000238;1963MM12;3,8;;None
23;M000239;1963MM12;;;Impossible
24;M000238;1963JJ00;3,8;;None
25;M000239;1963JJ00;;;Impossible
26;M000238;1964MM01;4,7;;None
27;M000239;1964MM01;;;Impossible
28;M000238;1964MM02;2,8;;None
29;M000239;1964MM02;;;Impossible
30;M000238;1964MM03;3,7;;None
31;M000239;1964MM03;;;Impossible
32;M000238;1964MM04;7,3;;None
33;M000239;1964MM04;;;Impossible
34;M000238;1964MM05;5,5;;None
35;M000239;1964MM05;;;Impossible
36;M000238;1964MM06;4,5;;None
37;M000239;1964MM06;;;Impossible
38;M000238;1964MM07;7,5;;None
39;M000239;1964MM07;;;Impossible
40;M000238;1964MM08;8,4;;None
41;M000239;1964MM08;;;Impossible
42;M000238;1964MM09;7,3;;None
43;M000239;1964MM09;;;Impossible
44;M000238;1964MM10;6,4;;None
45;M000239;1964MM10;;;Impossible
46;M000238;1964MM11;6,4;;None
47;M000239;1964MM11;;;Impossible
48;M000238;1964MM12;5,5;;None
49;M000239;1964MM12;;;Impossible
50;M000238;1964JJ00;5,5;;None
51;M000239;1964JJ00;;;Impossible
52;M000238;1965MM01;3,6;;None
53;M000239;1965MM01;;;Impossible
54;M000238;1965MM02;4,5;;None
55;M000239;1965MM02;;;Impossible
56;M000238;1965MM03;5,3;;None
57;M000239;1965MM03;;;Impossible
58;M000238;1965MM04;3,4;;None
59;M000239;1965MM04;;;Impossible
60;M000238;1965MM05;6,1;;None
61;M000239;1965MM05;;;Impossible
62;M000238;1965MM06;7;;None
63;M000239;1965MM06;;;Impossible
64;M000238;1965MM07;6,1;;None
65;M000239;1965MM07;;;Impossible
66;M000238;1965MM08;4,3;;None
67;M000239;1965MM08;;;Impossible
68;M000238;1965MM09;5,1;;None
69;M000239;1965MM09;;;Impossible
70;M000238;1965MM10;4,3;;None
71;M000239;1965MM10;;;Impossible
72;M000238;1965MM11;5,2;;None
73;M000239;1965MM11;;;Impossible
74;M000238;1965MM12;6;;None
75;M000239;1965MM12;;;Impossible
76;M000238;1965JJ00;5,2;;None
77;M000239;1965JJ00;;;Impossible
78;M000238;1966MM01;6,9;;None
79;M000239;1966MM01;;;Impossible
80;M000238;1966MM02;7,7;;None
81;M000239;1966MM02;;;Impossible
82;M000238;1966MM03;6,7;;None
83;M000239;1966MM03;;;Impossible
84;M000238;1966MM04;7,4;;None
85;M000239;1966MM04;;;Impossible
86;M000238;1966MM05;6,6;;None
87;M000239;1966MM05;;;Impossible
88;M000238;1966MM06;5,7;;None
89;M000239;1966MM06;;;Impossible
90;M000238;1966MM07;4,9;;None
91;M000239;1966MM07;;;Impossible
92;M000238;1966MM08;5,8;;None
93;M000239;1966MM08;;;Impossible
94;M000238;1966MM09;4,1;;None
95;M000239;1966MM09;;;Impossible
96;M000238;1966MM10;5,8;;None
97;M000239;1966MM10;;;Impossible
98;M000238;1966MM11;4,9;;None
99;M000239;1966MM11;;;Impossible
100;M000238;1966MM12;4,1;;None
101;M000239;1966MM12;;;Impossible
102;M000238;1966JJ00;5,8;;None
103;M000239;1966JJ00;;;Impossible
104;M000238;1967MM01;3,2;;None
