Identifier;DimensionGroupId;DimensionId;Index;Title;Description;Status
1995KW01;0;Perioden;1;1995 1e kwartaal;;Definitief
1995KW02;0;Perioden;2;1995 2e kwartaal;;Definitief
1995KW03;0;Perioden;3;1995 3e kwartaal;;Definitief
1995KW04;0;Perioden;4;1995 4e kwartaal;;Definitief
1995JJ00;1;Perioden;5;1995;;Definitief
1996KW01;0;Perioden;6;1996 1e kwartaal;;Definitief
1996KW02;0;Perioden;7;1996 2e kwartaal;;Definitief
1996KW03;0;Perioden;8;1996 3e kwartaal;;Definitief
1996KW04;0;Perioden;9;1996 4e kwartaal;;Definitief
1996JJ00;1;Perioden;10;1996;;Definitief
1997KW01;0;Perioden;11;1997 1e kwartaal;;Definitief
1997KW02;0;Perioden;12;1997 2e kwartaal;;Definitief
1997KW03;0;Perioden;13;1997 3e kwartaal;;Definitief
1997KW04;0;Perioden;14;1997 4e kwartaal;;Definitief
1997JJ00;1;Perioden;15;1997;;Definitief
1998KW01;0;Perioden;16;1998 1e kwartaal;;Definitief
1998KW02;0;Perioden;17;1998 2e kwartaal;;Definitief
1998KW03;0;Perioden;18;1998 3e kwartaal;;Definitief
1998KW04;0;Perioden;19;1998 4e kwartaal;;Definitief
1998JJ00;1;Perioden;20;1998;;Definitief
1999KW01;0;Perioden;21;1999 1e kwartaal;;Definitief
1999KW02;0;Perioden;22;1999 2e kwartaal;;Definitief
1999KW03;0;Perioden;23;1999 3e kwartaal;;Definitief
1999KW04;0;Perioden;24;1999 4e kwartaal;;Definitief
1999JJ00;1;Perioden;25;1999;;Definitief
2000KW01;0;Perioden;26;2000 1e kwartaal;;Definitief
2000KW02;0;Perioden;27;2000 2e kwartaal;;Definitief
2000KW03;0;Perioden;28;2000 3e kwartaal;;Definitief
2000KW04;0;Perioden;29;2000 4e kwartaal;;Definitief
2000JJ00;1;Perioden;30;2000;;Definitief
2001KW01;0;Perioden;31;2001 1e kwartaal;;Definitief
2001KW02;0;Perioden;32;2001 2e kwartaal;;Definitief
2001KW03;0;Perioden;33;2001 3e kwartaal;;Definitief
2001KW04;0;Perioden;34;2001 4e kwartaal;;Definitief
2001JJ00;1;Perioden;35;2001;;Definitief
2002KW01;0;Perioden;36;2002 1e kwartaal;;Definitief
2002KW02;0;Perioden;37;2002 2e kwartaal;;Definitief
2002KW03;0;Perioden;38;2002 3e kwartaal;;Definitief
2002KW04;0;Perioden;39;2002 4e kwartaal;;Definitief
2002JJ00;1;Perioden;40;2002;;Definitief
2003KW01;0;Perioden;41;2003 1e kwartaal;;Definitief
2003KW02;0;Perioden;42;2003 2e kwartaal;;Definitief
2003KW03;0;Perioden;43;2003 3e kwartaal;;Definitief
2003KW04;0;Perioden;44;2003 4e kwartaal;;Definitief
2003JJ00;1;Perioden;45;2003;;Definitief
2004KW01;0;Perioden;46;2004 1e kwartaal;;Definitief
2004KW02;0;Perioden;47;2004 2e kwartaal;;Definitief
2004KW03;0;Perioden;48;2004 3e kwartaal;;Definitief
